,IBU,ABV,Description,type,SRM
719,32,12.0,Belgian Strong Golden Ale,7,5
720,25,13.5,Elijah Craig aged Golden Strong Ale with apricot,7,5
721,25,8.4,Belgian Strong Golden Ale,7,7
722,13,9.0,Belgian Strong Golden Ale,7,6
723,30,11.0,Belgian Tripel,7,6
724,24,10.0,Belgian Tripel,7,4
725,27,10.2,Belgian Tripel,7,6
726,38,10.3,Belgian Tripel,7,5
727,20,17.1,Belgian Tripel,7,7
728,25,12.0,Belgian Tripel,7,6
729,31,12.0,Belgian Tripel,7,5
730,30,9.5,Belgian Tripel,7,4
731,24,11.7,Belgian Tripel,7,6
732,30,9.0,We aged our Belgian Tripel in Watershed Bourbon barrels for 14 months! Sweet honey notes blend wonderfully with rich oak a,7,7
733,18,9.6,Belgian Tripel,7,6
734,36,8.1,"Base beer â Devilâs Backbone Barrels â medium toast plus American oak red wine. Maturation â 6-12 months Tasting Notes â Caramel, vanill",7,6
735,30,9.0,Belgian Tripel,7,4
736,34,8.6,"The sixth release in our limited Legendary Series pays homage to the patron saint of Geel, Belgium, who devoted her life to helping the mentally ill. This classic Belgian-Style Tripel incorporates a touch of linden flowers, adding a subtle bouquet to the complex flavor. Itâs strong yet light and full of conviction, like the fair Saint Dymphna. Read Less",7,6
737,25,11.0,Belgian Tripel,7,5
738,30,9.0,Belgian Tripel,7,5
739,23,10.2,Belgian Tripel,7,5
740,38,9.2,NC malt tripel aged in red wine oak barrels with bre,7,4
741,30,10.0,Belgian Tripel,7,4
742,25,8.5,Belgian Tripel,7,7
743,35,9.8,Belgian-ish Tripel with pistachios and van,7,5
744,18,11.0,Belgian Tripel,7,6
745,24,10.0,"Dry hopped, and fermented with an aromatic Belgian yeast strain, Monk's Indiscretion has an intense tropical hoppy aroma and flavor, with balanced bitterness, and is scarily drinkable for such a strong beer. Read Less",7,5
67,2,5.0,Unfiltered Barvarian-Style Helles.,8,13
172,18,5.5,"Soft, subtle, and so clean you can taste the field the barley grew in. Less is more in these lagers, and balance is the goal. The yeast, time, and talent we put into our Helles produce light notes of honey and soft herbal hops with just a hint of bitterness.

Subtlety can't be faked, which is why this is one of our favorite styles to make",8,10
311,20,4.2,Good Cold Beer,8,13
320,23,4.7,"Too snobby for a good olÃ¢ÂÂ beer? Looks like beer... Smells like beer... Tastes like beer... itÃ¢ÂÂs BEER. Our aptly named lager is light in body but substantial enough in flavor to let you know that yes.. You are drinking beer.

Yeah BEER",8,6
340,20,5.0,"Hell is German for ""light."" A pale gold lager with bready malt aromas and flavors, floral hop aroma, and a balanced finish.",8,6
435,10,5.2,Mexican Lager. Halfway between awesome and fantastico but with the quality you expect from the great Cervaceria de Melvin. Super simple with an abv that you can session all goddamn day. Stay thirsty bitches,8,11
471,6,4.8,"Cheetah is an agile, easy-drinking Lager. Bright, light, with a tinge of malt and citrus character, this brew is crazily crushable.",8,12
517,24,4.8,"Derecho LagerÃÂ® is named after a violent storm which barreled through the DC Metro region on June 29th, 2012. Brewed with 100% Centennial hops, this American Lager is bright blonde in color with bread like flavors from the malts, and citrus and pine notes from the hops. This lager has a medium body and finishes with a clean hop bitterness. #SaveTheBee",8,10
524,24,5.0,"Port CityÃ¢ÂÂs Mexican Dark Lager draws inspiration from the dark lagers of Mexico known as Oscura lagers. This lager pours chestnut in color with a bright white foamy head, and has notes of toasted caramel and nut in the aroma. This medium bodied beer has slightly sweet and toasty flavors, finishing crisp and delightfully drinkable",8,6
1475,30,5.4,Lager - Amber,8,14
1476,30,5.7,Lager - Amber,8,10
1477,23,5.5,Lager - Amber,8,7
1478,27,8.0,Lager - Amber,8,8
1479,25,4.8,Lager - Amber,8,12
1480,18,5.5,We brewed this amber lager for Oktoberfest. Brewed with Munich and Caramel malts plus a touch of German hops. Perfect for fall's cool,8,10
1481,12,4.9,Lager - Amber,8,14
1482,23,5.0,Lager - Amber,8,13
1483,30,5.0,Lager - Amber,8,9
1484,30,7.0,Lager - Amber,8,13
1485,21,4.5,Lager - Amber,8,10
1486,38,6.5,"Sweet amber ale with additions of vanilla, chocolate, and hazelnut. Medium bodied, with chocolate o",8,10
1487,24,5.6,Lager - Amber,8,13
1488,25,5.8,Lager - Amber,8,8
1489,21,5.6,Lager - Amber,8,11
1490,13,6.0,Lager - Amber,8,14
1491,24,5.3,Lager - Amber,8,7
1492,22,5.8,Lager - Amber,8,11
1493,20,5.5,Lager - Amber,8,13
1494,40,6.4,Lager - Amber,8,10
1495,22,5.0,Lager - Amber,8,9
1496,25,5.2,Lager - Amber,8,14
1497,29,5.0,"Malty lager, cri",8,9
1498,22,5.4,Lager - Amber,8,10
1499,20,5.7,Lager - Amber,8,7
1500,16,5.5,Bourbon barrel aging compliments the toast and honey malt flavors of our Oktober,8,8
1501,25,5.0,Lager - American,8,8
1502,15,5.0,Lager - American,8,7
1503,25,5.0,Lager - American,8,9
1504,11,4.7,Lager - American,8,13
1505,13,5.0,Lager - American,8,10
1506,27,6.5,"A mystery, wrapped in an enigma, inside a coffee bean, inside a lager. A light-colored, easy-drinking lager with a mind-blowing co",8,8
1507,15,5.5,Lager - American,8,9
1508,15,4.7,Lager - American,8,14
1509,10,5.0,Lager - American,8,8
1510,6,5.0,Lager - American,8,9
1511,30,5.5,Lager - American,8,11
1512,10,6.5,Lager brewed with S,8,11
1513,12,4.7,A crisp lager as dependable as Death. Refreshment for the Ghoul in,8,8
1514,35,5.7,Pre-Prohibition style lager brewed with 6-Row and Flaked Maize and hopped wi,8,12
1515,12,4.7,Lager - American Amber / Red,8,10
1516,19,6.2,Lager - American Amber / Red,8,13
1517,24,6.5,Lager - American Amber / Red,8,8
1518,27,6.1,Lager - American Amber / Red,8,9
1519,18,5.9,Smooth. Balanced,8,14
1520,10,5.8,Lager - American Amber / Red,8,11
1521,35,5.6,"Toffee, bread crust, banana, and a hint of peach beg you to sip it all day ",8,13
1522,45,6.0,"Copper to amber in color with huge hop aroma, this brew features caramel and rye malts for body followed by a big citrus, tropical",8,13
1523,18,5.4,A malty & biscuity ale with a rich amber color that will make you smile,8,14
1524,36,5.5,"American Amber Ales should be flavorful (not boring!) and the Rabbit Hole Brewing Bluebonnet Pro-AM(ber) aims high to prove such. Brewed in collaboration with the Bluebonnet Brew-Off 29 Best of Show winner, David Toups, the Pro-AM(ber) provides a candi-like maltiness with generous citrus and tropical hop flavor notes to balance the palate. Clean on the finish, the Pro-AM(ber) is still bold enough to stand up and scream âSession Me!â and subtle enough to allow you to do so. Read Less",8,10
1525,22,6.5,Lager - American Amber / Red,8,12
1526,30,5.7,Lager - American Amber / Red,8,8
1527,72,8.0,A,8,9
1528,23,5.2,Lager - American Amber / Red,8,14
1529,18,4.7,A blend of 6 malts give a distinct amber color and toasty malt flavor. Saaz hops provide the classic lager h,8,7
1530,30,5.4,Lager - American Amber / Red,8,11
1531,20,5.8,Lager - American Amber / Red,8,6
1532,23,5.1,Lager - American Amber / Red,8,7
1533,22,5.2,Tar,8,13
1534,10,5.0,Lager - American Amber / Red,8,12
1535,28,5.5,"A Vienna-style lager brewed with pure wildflower honey. Light-bodied and crisp, with a touch of sweetness on th",8,9
1536,17,4.8,A springtime golden lager with a hint of local m,8,10
1537,56,6.8,Lager - American Amber / Red,8,14
1538,25,6.9,"American hops blend with German malts and yeast to create tangerine and grapefruit aromas and a sweet, crisp finish. Late addition dry hops of Falconers Flight and Experimental Hop Variety #07270 add a juicy hop profile with minimal bitterness. The beer showcases the best of both worlds, fusing a traditional German lager with a bright American hop profile. Read Less",8,14
1539,15,4.5,Lager - American Light,8,8
1540,19,4.9,Lager - American Light,8,11
1541,2,4.0,American light Lager smoothie conditioned on massive amounts of b,8,9
1542,17,4.8,"Traditional lager with mango,pineapple,key lime a",8,10
1543,11,5.0,Lager - American Light,8,13
1544,4,4.2,What we have that's most like [insert macro light / lite lager,8,12
1545,15,4.5,"An ultra refreshing warm weather lager brewed with flaked corn, key lime puree, and lightly dry-hopped wi",8,12
1546,24,4.5,Lager - American Light,8,11
1547,10,4.2,"Mexican Lager Dry Hopped with Wakatu Lactose sugar Aged on lime peel, vanilla and grah",8,10
1548,35,5.0,A refreshing light and crisp American Lager double dry-hopped with Lemo,8,14
1549,12,4.2,Lager - American Light,8,9
1550,11,4.1,"Mexican-style cerveza brewed with flaked maize, blue agave, and key lime. Light and crisp with a dry finish and tangy",8,7
1551,80,13.0,"Bourbon-barrel-aged Imperial Dark Lager. We brew this every year and age it in freshly dumped bourbon barrels for months to achieve the smooth, balanced, silky, bourbon-infused malty richness that is Massacre. 2015 was our fourth year brewing, bottling, and wax-dipping each and every bottle. Complex, featuring dried stone fruits, chocolate, and a sturdy alcohol backbone. Read Less",8,12
1552,30,6.6,Lager - Dark,8,8
1553,27,4.4,Lager - Dark,8,7
1554,55,5.0,Lager - Dark,8,10
1555,30,4.3,Lager - Dark,8,13
1556,22,5.2,Lager - Dark,8,8
1557,90,11.5,Lager - Dark,8,9
1558,25,5.3,Lager - Dark,8,7
1559,24,6.0,Brewed with a high-quality floor-malted Bohemian Dark and Vienna malt and hopped with noble ho,8,10
1560,30,6.5,Lager - Dark,8,14
1561,18,4.2,Lager - Dark,8,14
1562,19,4.9,Lager - Dark,8,12
1563,2,5.2,Lager - Dark,8,10
1564,31,7.5,Lager - Dark,8,12
1565,35,4.9,Lager - Dark,8,13
1566,20,5.0,Lager - Dark,8,6
1567,35,7.5,Lager - Dark,8,7
1568,30,5.8,Lager - Dortmunder / Export,8,12
1569,20,5.6,Lager - Dortmunder / Export,8,9
1570,30,5.75,Hoppy Ex,8,6
1571,20,5.7,Lager - Dortmunder / Export,8,14
1572,19,5.2,Lager - Dortmunder / Export,8,7
1573,25,5.5,"Award winning, easy drinking German style Dortmunder lager. Best enjoyed anytime, preferably amo",8,10
1574,20,5.7,"All the smells of fresh baked bread and toasted honey, golden, balanced",8,8
1575,30,5.5,"Made in honor of Belmont Station's 22nd anniversary, a stronger and bolder Helles that ",8,14
1576,29,6.0,Lager - Dortmunder / Export,8,10
1577,27,6.0,Lager - Dortmunder / Export,8,10
1578,27,4.9,Lager - Dortmunder / Export,8,10
1579,25,6.0,Lager - Dortmunder / Export,8,13
1580,23,6.0,Lager - Dortmunder / Export,8,6
1581,28,6.0,"Malt tones of sweet bread and toast, balanced by a crisp, floral, herbal hop",8,12
1582,40,5.4,"Low sweetness, medium body, low",8,8
1583,31,5.8,Lager - Dortmunder / Export,8,14
1584,20,4.5,Dry H,8,11
1585,45,6.35,Lager - Dortmunder / Export,8,7
1586,54,5.8,Lager - Dortmunder / Export,8,9
1587,25,5.8,Lager - Dortmunder / Export,8,9
1588,28,5.5,Lager - Dortmunder / Export,8,12
1589,35,5.2,Lager - Dortmunder / Export,8,11
1590,18,5.2,Lager - Helles,8,6
1591,18,5.1,Lager - Helles,8,6
1592,22,5.2,Lager - Helles,8,12
1593,20,4.9,"Crisp, light, refreshing, brilliantly effervescent with a floral, noble",8,10
1594,19,4.9,Lager - Helles,8,11
1595,20,5.0,Lager - Helles,8,14
1596,18,5.0,Lager - Helles,8,9
1597,25,6.0,"One for You Helles-Style Lager is aged on upon pineapple, coconut and vanilla beans and dry-hopped with Mosaic lupulin powder. Made with the obliging team at Other Half Brewing. Read Less",8,10
1598,18,5.2,Lager - Helles,8,11
1599,18,5.0,Lager - Helles,8,12
1600,100,10.0,Lager - IPL (India Pale Lager),8,8
1601,40,6.4,Lager - IPL (India Pale Lager),8,14
1602,35,6.1,"Vic Secret, Mosaic, Astra dry hopped lager that exemplifies the confluence of characteristics of an IPA a",8,9
1603,80,7.2,Lager - IPL (India Pale Lager),8,10
1604,100,8.0,Lager - IPL (India Pale Lager),8,14
1605,70,8.7,"Itâs been a dozen years since weâve brewed a lagerâand, true to form, weâre going big with Dissenter India Pale Lager, our argument in favor of the potential for complex lagers. Brewed with a wide variety of tropical, citrus-forward hops, Dissenter clocks in at 8.7% ABV and 70 IBUs. Our ales are fermented at warm temperatures, but this lager is fermented cold, using a different kind of yeast. The longer brewing process used for lagers gives Dissenter an exceptionally clean finish, allowing you to appreciate the clear beauty of the hops as you would a well thought out, eloquent dissenting opinion. Weâll let this one speak for itself. Read Less",8,13
1606,40,6.5,Lager - IPL (India Pale Lager),8,9
1607,45,5.5,Hoppy pilsner made with ,8,6
1608,55,9.5,Lager - IPL (India Pale Lager),8,14
1609,50,5.4,"(Finback Version) An IPL brewed with green tea and watermelon. Dry hopped with Mosaic, Citra and Falconers. Lightly fruited, bi",8,9
1610,90,8.0,Lager - IPL (India Pale Lager),8,10
1611,105,8.5,Lager - IPL (India Pale Lager),8,7
1612,50,6.5,Lager - IPL (India Pale Lager),8,8
1613,50,6.5,Lager - IPL (India Pale Lager),8,12
1614,55,7.1,Lager - IPL (India Pale Lager),8,6
1615,27,8.4,"Lager of Sin is a premium Double IPL (Indian Pale Lager) created in tandem with Metal Allegiance and Barrage Brewing Company. Metal Allegiance and Barrage Brewing were both founded, created, and made on Long Island, NY. Keeping the NY spirit alive, Lager of Sin is handcrafted and brewed on Long Island using a golden lager style base and dry hopped with thrashed amounts of mosaic, galaxy, comet, simcoe hops---- and mayhem Read Less",8,10
1616,25,5.0,Double Dry H,8,6
1617,52,7.1,"A collaboration between the Godfather of homebrewing Chalie Papazian and Flying Dog Brewmaster Matt Brophy, both self-proclaimed hopheads. This IPL is a masterpiece of expertly blended Centennial, Citra, Galaxy and Mosaic hope with a lager fermentations that's as light on the palate as it is intense. Read Less",8,7
1618,100,8.0,Lager - IPL (India Pale Lager),8,12
1619,78,8.9,Lager - IPL (India Pale Lager),8,14
1620,38,6.0,"Hoppy Lager brewed in collaboration w/Highland Park Brewery. Hopped w/Nelson, Citra & Saphir and lagered to crisp, hoppy ",8,13
1621,75,8.5,Lager - IPL (India Pale Lager),8,6
1622,90,7.4,Lager - IPL (India Pale Lager),8,13
1623,35,5.5,Lager - IPL (India Pale Lager),8,14
1624,10,5.0,A crispy rice lager with marshmallows. Brewed in collaboration with Eighth State and Com,8,8
1625,15,5.0,"Bright, Shiso Plum, Wild Flowers, Ja",8,7
1626,25,5.7,Lager - Japanese Rice,8,11
1627,13,5.0,Extra dry Japanese Rice Lager hopped with Strata. Light and refreshing with notes of tropical fruit an,8,7
1628,20,5.0,Lager - Japanese Rice,8,12
1629,15,5.2,Lager - Munich Dunkel,8,7
1630,18,5.5,"Double-Decocted MÃ¼nich Dunkel.Subtle roasted and biscuity malts, with a long, cold-conditioning process. Exceptiona",8,9
1631,22,4.8,Lager - Munich Dunkel,8,10
1632,23,5.1,Lager - Munich Dunkel,8,12
1633,22,5.0,Lager - Munich Dunkel,8,11
1634,43,5.5,Lager - Munich Dunkel,8,9
1635,20,4.8,"This Dark Lager is malt-forward yet balanced, with notes of toffee and caramelized bread crust. Smooth with a light body for easy dr",8,13
1636,23,5.5,Lager - Munich Dunkel,8,6
1637,22,5.0,Lager - Munich Dunkel,8,7
1638,35,5.8,"Toasty, malty, dark re",8,12
1639,25,10.34,Tripel Dunkel aged in Bordea,8,14
1640,17,5.6,"This delicious lager has notes of deep toastiness, mild dark chocolate, and subtle smokiness. Crisp and dry finish. Can art by Ad",8,7
1641,26,8.2,Lager - Munich Dunkel,8,6
1642,20,5.5,This German dark lager has rich bread crust aroma and complex Munich malt flavors which linger in to ,8,13
1643,8,8.65,Lager - Munich Dunkel,8,7
1644,20,6.5,Darker German lager. Nice malt complexity with a cl,8,8
1645,26,5.1,Lager - Munich Dunkel,8,14
1646,20,5.2,Lager - Munich Dunkel,8,13
1647,24,5.6,Lager - Munich Dunkel,8,9
1648,12,4.6,Lager - Pale,8,11
1649,26,3.9,Lager - Pale,8,8
1650,35,5.3,Lager - Pale,8,14
1651,20,6.2,Lager - Pale,8,13
1652,21,5.0,Lager - Pale,8,10
1653,30,6.1,"Toasty malt, dry cocoa, ja",8,13
1654,20,4.5,Lager - Pale,8,12
1655,22,6.6,"Hops: Tettnanger, Magnum Malt: Bohemian Pilsner, Vienna Malt, Sauermalz, Chit Malt, ",8,7
1656,20,7.3,Lager - Pale,8,9
1657,68,5.8,"This is a hoppy red lager, dry hopped with copious amounts of ",8,11
1658,25,4.8,Lager - Red,8,13
1659,20,5.0,Lager - Red,8,12
1660,24,5.1,Lager - Red,8,14
1661,30,6.4,Lager - Red,8,6
1662,20,5.0,Lager - Red,8,12
1663,18,5.9,"Honey red lager that is light, clean",8,6
1664,20,4.9,Lager - Red,8,6
1665,25,5.5,Lager - Red,8,10
1666,15,5.9,Lager - Red,8,11
1667,25,5.6,Lager - Red,8,13
1668,15,5.3,Lager - Red,8,14
1669,25,6.0,Lager - Red,8,8
1670,26,5.9,Lager - Red,8,12
1671,13,6.8,Lager - Red,8,7
1672,16,6.0,Lager - Red,8,13
1673,25,4.5,Lager - Red,8,14
1674,30,5.6,Dry hopped wi,8,9
1675,41,6.0,"European red lager brewed for winter enjoyment. Medium, toasty malt body with a balanced crisp finish.

Named for a old tradition in the sport of curling that we think embodies sport as fun. The ""skip"" or team captain can pause the match by stacking the brooms and during the break, both teams go have a beer together. Doubt you'll see it in matches in the Olympics but we can only hope. Read Less",8,6
1676,16,4.6,Iris,8,7
1677,17,8.4,Lager - Strong,8,7
1678,40,6.2,Lager - Strong,8,13
1679,58,9.0,Lager - Strong,8,12
1680,71,12.0,Lager - Strong,8,6
1681,12,5.9,Lager - Strong,8,12
1682,28,6.7,Lager - Strong,8,12
1683,38,9.3,"Orange-brown in hue and strong in character, this malt-forward beer is clearly the boss of this house. Munich makes up the majority of the malt bill, with supplemental additions of Vienna, Pilsner, and Caramunich. Light noble hop flavor and good attenuation keep this behemoth in relative balance, whilst a warming alcohol presence reminds you that it means business. Read Less",8,11
1684,37,9.3,Lager - Strong,8,8
1685,40,6.9,Our Limited Strong Lager will get the job done at a 6.9% ABV. It has caramel and nutty notes with a malty backbone and a crisp la,8,7
1686,35,14.0,Lager - Strong,8,13
1687,22,7.1,Lager - Strong,8,14
1688,20,7.0,Lager - Strong,8,9
1689,26,6.2,"Session Fest is a Czech-style strong lager (gotta love the Czechs!) called polotmavÃ© or literally âlight dark or semi-dark.â Brewed with 2 Row Pale malt, Munich malt, Caramel malt and Wheat malt and hopped with a blend of Glaciers and Cascades, Session Fest has a medium to full body balancing candy caramel and full malt flavors that are underscored by a spicy hoppiness that provides a nice perfume with citrus and pine overtones and a long clean finish. 6.2% ABV 26 IBU Read Less",8,8
1690,28,5.0,Lager - Vienna,8,9
1691,30,5.2,Lager - Vienna,8,11
1692,30,6.1,"Hazelnut, mocha, sweet malt, grape, cacao. Adjunct: Stumpyown Ethiopian Nano Challa",8,12
1693,10,9.5,Breakfast Imperial Vienna Lager with Maple Syrup ,8,7
1694,19,5.4,Lager - Vienna,8,7
1695,20,4.8,Lager - Vienna,8,9
1696,20,5.3,Lager - Vienna,8,7
1697,25,5.6,Lager - Vienna,8,14
1698,19,5.3,Lager - Vienna,8,8
1699,18,5.2,Lager - Vienna,8,7
1700,30,5.4,"Old world, historical Vienna style lager. Hoppy, balanced, honey coated bis",8,14
1701,28,4.7,Classic Vienna Lager with a Deep Amber Color & Bold Mal,8,6
1702,23,6.0,Lager - Vienna,8,9
1703,27,5.1,Lager - Vienna,8,13
1704,25,5.1,"Cousin to the German MÃ¤rzen. Our version exhibits a toasty / nutty malt character, and a balanced h",8,6
1705,24,4.1,Lager - Vienna,8,6
1706,30,6.1,Experimental ,8,14
1707,20,5.8,Lager - Vienna,8,10
1708,22,5.6,Lager - Vienna,8,6
1709,30,5.5,Lager - Vienna,8,13
1710,20,5.6,[yoh-hahn] This crisp copper colored Vienna lager has notes of light toasted malt and subtle spicy hop,8,6
1711,28,5.8,Lager - Vienna,8,11
1712,29,4.8,Lager - Vienna,8,8
1713,30,12.4,"Creamy Swiss-style holiday lager, with a malty taste and aroma. Barrel-aging adds great flavors, creating more depth and a satisfying complexity. Frogichlaus is mellow and soothing, the perfect beer to settle down for a cold winter's nap. Inspired by a man so lively and quick, we knew in a moment it must be St. Nick! Read Less",8,13
1714,19,13.9,Lager - Winter,8,6
1715,14,4.8,Lager - Winter,8,13
1716,35,7.0,Lager - Winter,8,13
1717,30,12.4,Lager - Winter,8,7
1718,34,6.3,"Brewed in the traditional German style and lager aged for 2 months to create a smooth, clean and ",8,12
1719,18,5.2,Lager - Winter,8,11
1720,26,7.7,Lager - Winter,8,8
1721,17,5.7,Lager - Winter,8,8
1722,30,6.3,Lager - Winter,8,6
1723,23,6.0,Lager - Winter,8,11
1724,35,10.0,"EBC Christmas Beer, brewed on St. Nicholas day and aged for 1 year in o",8,6
1725,18,6.0,Lager - Winter,8,11
1726,19,7.0,Lager - Winter,8,9
1727,20,6.0,Lager - Winter,8,13
1728,38,7.8,Lager - Winter,8,9
1729,16,5.0,Lager - Winter,8,8
1730,18,7.4,Lager - Winter,8,11
1731,20,6.1,Our golden lager is brewed with clover honey and spiced with coriander. Smooth with subtle ci,8,14
1732,20,6.2,Lager - Winter,8,7
1733,14,5.5,Lager - Winter,8,13
1734,20,6.1,Lager - Winter,8,8
1735,15,6.0,Lager - Winter,8,13
1736,41,8.5,Lager - Winter,8,13
1737,16,4.9,Lager - Winter,8,8
1738,30,7.1,Lager - Winter,8,11
40,10,4.2,"Screwball series Berliner Weisse with Raspberry puree, Almonds, and Vanilla",9,9
88,12,6.7,"Golden Wild Ale aged in oak barrels with rasberries, ginger and lemon zest.",9,8
89,12,5.0,"Golden Sour aged in Sauvignon Blanc barrels, dry hopped with Galaxy, Nelson and Mosaic",9,9
90,10,8.0,"Dot Dot Dot... a golden sour ale aged with Empress plums, honey and a hit of peppercorns. Aged in oak 10-14 months. Tasting notes of vanilla, raisin, stone fruit, lacti",9,9
91,10,6.4,Blended Red Wild Ale aged in Italian wine Foudres for 18-24 months.,9,7
92,12,6.5,Golden sour ale fermented and aged in oak barrels with roasted Cara Cara oranges and Vermont wildflower honey.,9,10
93,12,6.5,"Golden Sour aged in Gin barrels with Vermont wild flower honey and lavender, elderflower and chamomile",9,10
94,10,10.8,Vermont Wild Ale blended with hand crushed Petite Pearl and Merlot Grapes from Shelburne Vineyard and naturally fermented in French oak.,9,10
95,12,5.8,Golden Sour Ale aged in red wine barrels with blackberries and blackcurrants,9,4
96,10,6.4,14 month old Wild Ale aged in oak barrels with Black Mission Figs and Star Anise.,9,7
97,10,6.7,Wild Ale aged in oak barrels with Balaton and Montmorency tart cherries.,9,5
98,10,6.5,House Dot #2 is a golden sour ale aged in oak barrels with Buddha Hand citrus and organic ginger,9,6
99,12,5.8,"Golden Sour aged in oak barrels with Vermont Honey, Vermont Cranberries, Hibiscus and Orange Zest",9,11
100,8,5.8,"A blend of 8 and 12 month old Golden Sour Ale aged in Chardonnay wine barrels with fresh Pineapple.
House Dot releases will be a revolving blend of flavors and barrels. House Dot will only be available at Foam Brewers",9,6
101,10,6.5,House Dot #4 2017 is a blend of 8 to 15 month old American Wild Ale aged in wine barrels.,9,7
102,8,5.3,"Blended sour ale aged on mangos, toasted coconut and lime zest.",9,8
103,6,5.0,"2 year blended Golden Wild ale fermented and aged in oak barrels with Vermont wildflower honey, Guava and Lemon peel. Bottled 11/2019.",9,7
104,10,6.5,House Dot #1 October 2016 is a Blended Golden Sour aged in Gin Barrels. House Dot releases will be a revolving blend of flavors and barrels. House Dot will only be available at Foam Brewer,9,6
105,6,5.0,"A special beer to share with you for Foam Brewers 4th Anniversary. Spontaneous Dot Elderberry is a Vermont grown beer naturally fermented and conditioned using the wild countryside yeast and bacteria. This beer was fermented and aged in oak and expresses a lively earthy acidity thatÃ¢ÂÂs jammy with a light natural tannic wine funk. Ã¢Â Â
Ã¢Â Â
In the Fall of 2016, we set forth to brew our first Vermont spontaneous grown beer. We aptly chose Andrew Peterson's farm malthouse that is situated around Boyers Fruit orchard in Monkton. Under the cool night sky where the Vermont wild yeast blows we allowed this dextrin rich wort made from Vermont grown and malted barely, raw wheat from Nitty Gritty Grain of Charlotte, and a touch of aged hops from Homestead Hops of Starksboro settle in for the evening. We followed up with the same process in 2017 where both vintages sat untouched in 500 liter oak barrels. In the fall of 2018 we blended and finished this beer off with Elderberries from @Thorn Hill Farm of Greensboro. Following a final barrel fermentation and aging, we bottle conditioned this beer in the summer of 2019 with BurlingtonÃ¢ÂÂs own BTV honey.

- Todd & Bil",9,8
106,10,5.2,Blended wild ale aged 12-18 months in oak barrels with Rose Hips and Orange Peel,9,7
107,10,5.8,"Brewed and fermented in oak September 2017, Close Dot is a Golden Wild Ale blended and aged in Sauvignon Blanc wine barrels in early 2019 on cut pineapple, Vermont wildflower honey and a light drop of Australian Galaxy hops. This sour wild ale has tropical expressions of candied lemon, coconut and ripe pineapple. Bottling date August 2019",9,5
122,24,7.0,Oude Bruin style beer aged 2 years then aged 3 months on figs.,9,8
153,10,4.2,"This unique kettle sour, blended with Citra hop, dragon fruit, mango and passion fruit puree is fruity and tart with a dry finish.",9,9
182,18,5.8,Dry hopped sour ale.,9,9
191,30,6.3,Kettle Sour with Brett and Pink Guava,9,11
200,45,5.1,100% Brettanomyces Fermented,9,8
220,8,3.4,"A not-often seen style here, our take a traditional Berliner Weiss (or ""wheat"") sports a clean, tightly sour taste that is achieved by using a Lactobacillus culture in the brewing process. Not overbearing and with a sharp, lemon taste, this beer can quench a thirst any time of year but is really the ultimate in hot, Summertime drinks. That's why we only release it during lawn mowing season",9,9
281,5,4.0,"Our interpretation of the traditional German-style sour wheat beer, brewed with coriander and grey sea salt. Sour, salty, delicious.",9,10
285,10,4.0,Our classic Gose infused with the delicious flavors of key lime pie.,9,9
290,5,4.0,Our classic Gose infused with lemon and cucumber. Zesty and refreshing.,9,11
294,5,4.0,"Ambrosia inspired sour ale with tangerine, pineapple, cherry, coconut, lactose and marshmallows. Collaboration with Angry Chair Brewing.",9,11
296,5,5.0,"Get your freaky tiki on with this tropical spiced pineapple, passionfruit, and guava smoothie sour. IT IS TIME TO TIKI.",9,10
301,5,5.0,"Key Lime Pi is a pastry sour inspired by the ratio of the circumference of the best dessert (key lime pie, obviously) to the diameter of that same pie. To create this delectable dessert delight we started with our base sour beer and employed an extremely advanced, complex brewing technique called ""buying a bunch of key lime pies and putting them into the beer."" Annual release for Pi Day",9,10
302,5,6.0,"Super fruited sour with dragonfruit, passionfruit, mango, pineapple, pink guava, key lime, tangerine, toasted coconut, marshmallows, and milk sugar. Lets. Get. Weird",9,9
304,5,4.5,"Gose brewed with strawberry, rhubarb, vanilla, and spices.",9,8
310,5,4.5,"Tritonia is a 4.5% ABV gently tart fruited Gose brewed with cucumber, lime, sea salt, coriander, and our house blend of lactobacillus. Our take on this classic German-style wheat beer pairs the cool freshness of cucumber with the crisp tartness of lime to create an incredibly refreshing experience",9,6
312,5,4.5,Tritonia Gose with pineapple & lemon.,9,10
324,10,5.0,Lots of strawberry added to a gose,9,7
364,10,7.0,"pFriem Flanders Red is a tribute to the Burgundies of Belgium, the red ales that once captivated the country. Each glass is rich with notes of cherry, hints of passionfruit and a Pinot-like flavor that comes from the eighteen months it spent in an oak barrel. Take one sip, savor the tart finish and youÃ¢ÂÂll understand how one beer could charm a country",9,5
372,6,6.0,Fresh blueberries with a barrel-aged lambic-style ale.,9,8
390,7,4.5,"A soaring wave of lush ripe peach, elevated by a naturally tart finish. A thirst-quenching declaration for when you want to amplify your voice.",9,5
406,4,7.0,"We brewed a special, American Adjunct Lager in Berliner Weisse fashion, and then aged it in our cypress lagering tank with 2 strains of brett and then dry hopped it with Hallertau Blanc for a unique take on a Berliner Weisse.

Through the long, slow, secondary fermentation process, the authentic Brettanomyces yeast in Cypress Blanc completely fermented the residual sugars remaining in the beer, transforming it into a very dry, tart and complex flavor profile wholly unique and dramatically different from any American lager previous aged in our cypress tanks",9,4
